Ranking FIFA,Selección,Confederación
1,España,UEFA
2,Argentina,CONMEBOL
3,Francia,UEFA
4,Inglaterra,UEFA
5,Brasil,CONMEBOL
6,Portugal,UEFA
7,Países Bajos,UEFA
8,Bélgica,UEFA
9,Alemania,UEFA
10,Croacia,UEFA
11,Marruecos,CAF
13,Colombia,CONMEBOL
14,Estados Unidos,CONCACAF
15,México,CONCACAF
16,Uruguay,CONMEBOL
17,Suiza,UEFA
18,Japón,AFC
19,Senegal,CAF
20,Irán,AFC
22,Corea del Sur,AFC
23,Ecuador,CONMEBOL
24,Austria,UEFA
26,Australia,AFC
27,Canadá,CONCACAF
29,Noruega,UEFA
30,Panamá,CONCACAF
34,Egipto,CAF
35,Argelia,CAF
36,Escocia,UEFA
39,Paraguay,CONMEBOL
40,Túnez,CAF
42,Costa de Marfil,CAF
43,Suecia,UEFA
44,República Checa,UEFA
45,Turquía,UEFA
50,Uzbekistán,AFC
51,Catar,AFC
60,Arabia Saudita,AFC
61,Sudáfrica,CAF
65,Bosnia y Herzegovina,UEFA
66,Jordania,AFC
68,Cabo Verde,CAF
72,Ghana,CAF
76,Irak,AFC
81,Haití,CONCACAF
82,Curazao,CONCACAF
83,Camerún,CAF
85,Nueva Zelanda,OFC
Total de equipos:,48,
